Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV,,Cond,,Conc B,,Run Log,,Fraction,,"UV_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Logbook,ml,Fraction,ml,mAU
0.132074,5.659981,0.264147,50.91814,1.320601,0,,,,,0.132074,2.748827
0.133156,5.663661,0.266312,50.919147,1.331426,0,,,,,0.133156,2.748828
0.134239,5.667506,0.268477,50.920197,1.34225,0,,,,,0.134239,2.74883
0.135321,5.671116,0.270643,50.921139,1.353075,0,,,,,0.135321,2.748832
0.136404,5.674954,0.272808,50.921997,1.3639,0,,,,,0.136404,2.748834
0.137486,5.679936,0.274973,50.923023,1.374724,0,,,,,0.137486,2.748836
0.138569,5.683955,0.277138,50.92395,1.385549,0,,,,,0.138569,2.748837
0.139652,5.68762,0.279303,50.924759,1.396373,0,,,,,0.139652,2.748839
0.140734,5.692057,0.281468,50.925556,1.407198,0,,,,,0.140734,2.748841
0.141817,5.696401,0.283633,50.926376,1.418023,0,,,,,0.141817,2.748843
0.142899,5.700727,0.285798,50.927238,1.428847,0,,,,,0.142899,2.748844
0.143982,5.705717,0.287964,50.928215,1.439672,0,,,,,0.143982,2.748846
0.145064,5.710581,0.290129,50.929176,1.450496,0,,,,,0.145064,2.748847
0.146147,5.715333,0.292294,50.930035,1.461321,0,,,,,0.146147,2.748848
0.14723,5.719603,0.294459,50.93095,1.472146,0,,,,,0.14723,2.74885
0.148312,5.724243,0.296624,50.931942,1.48297,0,,,,,0.148312,2.748851
0.149395,5.729348,0.298789,50.93317,1.493795,0,,,,,0.149395,2.748853
0.150477,5.734181,0.300954,50.934204,1.504619,0,,,,,0.150477,2.748854
0.15156,5.738861,0.30312,50.935116,1.515444,0,,,,,0.15156,2.748856
0.152642,5.743328,0.305285,50.935833,1.526269,0,,,,,0.152642,2.748857
0.153725,5.748182,0.30745,50.936478,1.537093,0,,,,,0.153725,2.748858
0.154808,5.753159,0.309615,50.937061,1.547918,0,,,,,0.154808,2.74886
0.15589,5.758247,0.31178,50.93742,1.558742,0,,,,,0.15589,2.748861
0.156973,5.763452,0.313945,50.937756,1.569567,0,,,,,0.156973,2.748863
0.158055,5.768804,0.31611,50.938068,1.580392,0,,,,,0.158055,2.748864
0.159138,5.774547,0.318276,50.938229,1.591216,0,,,,,0.159138,2.748866
0.16022,5.779752,0.320441,50.938419,1.602041,0,,,,,0.16022,2.748867
0.161303,5.78477,0.322606,50.938644,1.612865,0,,,,,0.161303,2.748869
0.162386,5.790167,0.324771,50.938961,1.62369,0,,,,,0.162386,2.74887
0.163468,5.795684,0.326936,50.939304,1.634515,0,,,,,0.163468,2.748872
0.164551,5.801263,0.329101,50.939682,1.645339,0,,,,,0.164551,2.748873
0.165633,5.806641,0.331266,50.940044,1.656164,0,,,,,0.165633,2.748875
0.166716,5.812047,0.333432,50.940445,1.666988,0,,,,,0.166716,2.748876
0.167798,5.817478,0.335597,50.940952,1.677813,0,,,,,0.167798,2.748878
0.168881,5.823642,0.337762,50.941235,1.688638,0,,,,,0.168881,2.748879
0.169963,5.829964,0.339927,50.941425,1.699462,0,,,,,0.169963,2.74888
0.171046,5.836468,0.342092,50.941555,1.710287,0,,,,,0.171046,2.748882
0.172129,5.842426,0.344257,50.941635,1.721111,0,,,,,0.172129,2.748883
0.173211,5.848261,0.346422,50.941696,1.731936,0,,,,,0.173211,2.748885
0.174294,5.853947,0.348588,50.941803,1.742761,0,,,,,0.174294,2.748886
0.175376,5.85976,0.350753,50.942101,1.753585,0,,,,,0.175376,2.748888
0.176459,5.8655,0.352918,50.942513,1.76441,0,,,,,0.176459,2.748889
0.177541,5.87091,0.355083,50.942696,1.775234,0,,,,,0.177541,2.748891
0.178624,5.876742,0.357248,50.942776,1.786059,0,,,,,0.178624,2.748892
0.179707,5.882797,0.359413,50.942757,1.796884,0,,,,,0.179707,2.748894
0.180789,5.889077,0.361578,50.942818,1.807708,0,,,,,0.180789,2.748895
0.181872,5.894927,0.363744,50.942867,1.818533,0,,,,,0.181872,2.748897
0.182954,5.900586,0.365909,50.94289,1.829357,0,,,,,0.182954,2.748899
0.184037,5.906857,0.368074,50.942978,1.840182,0,,,,,0.184037,2.7489
0.185119,5.91325,0.370239,50.943054,1.851007,0,,,,,0.185119,2.748902
0.186202,5.919738,0.372404,50.9431,1.861831,0,,,,,0.186202,2.748904
0.187285,5.925878,0.374569,50.943245,1.872656,0,,,,,0.187285,2.748906
0.188367,5.932078,0.376734,50.943485,1.88348,0,,,,,0.188367,2.748908
0.18945,5.938344,0.3789,50.943916,1.894305,0,,,,,0.18945,2.74891
0.190532,5.945295,0.381065,50.944473,1.90513,0,,,,,0.190532,2.748912
0.191615,5.952557,0.38323,50.945061,1.915954,0,,,,,0.191615,2.748914
0.192697,5.960208,0.385395,50.945618,1.926779,0,,,,,0.192697,2.748916
0.19378,5.966897,0.38756,50.946098,1.937603,0,,,,,0.19378,2.748918
0.194863,5.973298,0.389725,50.94656,1.948428,0,,,,,0.194863,2.74892
0.195945,5.979424,0.39189,50.947155,1.959253,0,,,,,0.195945,2.748922
0.197028,5.985588,0.394056,50.947773,1.970077,0,,,,,0.197028,2.748924
0.19811,5.991835,0.396221,50.94841,1.980902,0,,,,,0.19811,2.748925
0.199193,5.998299,0.398386,50.948967,1.991726,0,,,,,0.199193,2.748927
0.200275,6.005136,0.400551,50.949497,2.002551,0,,,,,0.200275,2.748928
0.201358,6.011998,0.402716,50.950008,2.013376,0,,,,,0.201358,2.74893
0.202441,6.018312,0.404881,50.950588,2.0242,0,,,,,0.202441,2.748931
0.203523,6.024513,0.407046,50.951054,2.035025,0,,,,,0.203523,2.748933
0.204606,6.030636,0.409211,50.951359,2.04585,0,,,,,0.204606,2.748935
0.205688,6.036601,0.411377,50.951401,2.056674,0,,,,,0.205688,2.748936
0.206771,6.043559,0.413542,50.951344,2.067499,0,,,,,0.206771,2.748938
0.207853,6.051245,0.415707,50.951149,2.078323,0,,,,,0.207853,2.748939
0.208936,6.058127,0.417872,50.950962,2.089148,0,,,,,0.208936,2.748941
0.210019,6.065098,0.420037,50.950718,2.099972,0,,,,,0.210019,2.748942
0.211101,6.072161,0.422202,50.950306,2.110797,0,,,,,0.211101,2.748944
0.212184,6.079677,0.424367,50.949841,2.121622,0,,,,,0.212184,2.748946
0.213266,6.08707,0.426533,50.949371,2.132446,0,,,,,0.213266,2.748947
0.214349,6.094266,0.428698,50.948956,2.143271,0,,,,,0.214349,2.748949
0.215431,6.101016,0.430863,50.948517,2.154095,0,,,,,0.215431,2.74895
0.216514,6.107777,0.433028,50.948093,2.16492,0,,,,,0.216514,2.748952
0.217597,6.114668,0.435193,50.947861,2.175745,0,,,,,0.217597,2.748954
0.218679,6.122109,0.437358,50.947834,2.186569,0,,,,,0.218679,2.748955
0.219762,6.129587,0.439523,50.94796,2.197394,0,,,,,0.219762,2.748957
0.220844,6.136802,0.441689,50.948196,2.208218,0,,,,,0.220844,2.748958
0.221927,6.14498,0.443854,50.948429,2.219043,0,,,,,0.221927,2.74896
0.223009,6.153166,0.446019,50.948662,2.229868,0,,,,,0.223009,2.748961
0.224092,6.159936,0.448184,50.949005,2.240692,0,,,,,0.224092,2.748963
0.225175,6.167604,0.450349,50.949238,2.251517,0,,,,,0.225175,2.748965
0.226257,6.175597,0.452514,50.949287,2.262341,0,,,,,0.226257,2.748966
0.22734,6.18236,0.454679,50.949402,2.273166,0,,,,,0.22734,2.748968
0.228422,6.189584,0.456845,50.949623,2.283991,0,,,,,0.228422,2.748969
0.229505,6.197227,0.45901,50.950047,2.294815,0,,,,,0.229505,2.74897
0.230587,6.205482,0.461175,50.950455,2.30564,0,,,,,0.230587,2.748971
0.23167,6.2134,0.46334,50.950809,2.316464,0,,,,,0.23167,2.748972
0.232753,6.220905,0.465505,50.951008,2.327289,0,,,,,0.232753,2.748973
0.233835,6.228886,0.46767,50.951187,2.338114,0,,,,,0.233835,2.748974
0.234918,6.236947,0.469835,50.951389,2.348938,0,,,,,0.234918,2.748975
0.236,6.245066,0.472001,50.951736,2.359763,0,,,,,0.236,2.748976
0.237083,6.253131,0.474166,50.952068,2.370587,0,,,,,0.237083,2.748977
0.238165,6.261233,0.476331,50.952419,2.381412,0,,,,,0.238165,2.748978
0.239248,6.269444,0.478496,50.952995,2.392237,0,,,,,0.239248,2.74898
0.240331,6.277655,0.480661,50.953499,2.403061,0,,,,,0.240331,2.748982
0.241413,6.285769,0.482826,50.953953,2.413886,0,,,,,0.241413,2.748983
0.242496,6.293556,0.484991,50.954605,2.424711,0,,,,,0.242496,2.748985
0.243578,6.301955,0.487157,50.955284,2.435535,0,,,,,0.243578,2.748986
0.244661,6.310565,0.489322,50.956001,2.44636,0,,,,,0.244661,2.748988
0.245743,6.318844,0.491487,50.956875,2.457184,0,,,,,0.245743,2.74899
0.246826,6.326928,0.493652,50.957775,2.468009,0,,,,,0.246826,2.748991
0.247909,6.334929,0.495817,50.958702,2.478833,0,,,,,0.247909,2.748993
0.248991,6.343377,0.497982,50.95969,2.489658,0,,,,,0.248991,2.748995
0.250074,6.351809,0.500147,50.96072,2.500483,0,,,,,0.250074,2.748996
0.251156,6.360228,0.502312,50.961807,2.511307,0,,,,,0.251156,2.748998
0.252239,6.368409,0.504478,50.962708,2.522132,0,,,,,0.252239,2.748999
0.253321,6.376622,0.506643,50.9636,2.532956,0,,,,,0.253321,2.749001
0.254404,6.384871,0.508808,50.964638,2.543781,0,,,,,0.254404,2.749003
0.255487,6.393354,0.510973,50.965836,2.554606,0,,,,,0.255487,2.749004
0.256569,6.402009,0.513138,50.967068,2.56543,0,,,,,0.256569,2.749006
0.257652,6.410909,0.515303,50.968098,2.576255,0,,,,,0.257652,2.749007
0.258734,6.41946,0.517469,50.969082,2.58708,0,,,,,0.258734,2.749009
0.259817,6.428344,0.519634,50.970028,2.597904,0,,,,,0.259817,2.749011
0.260899,6.438079,0.521799,50.970928,2.608729,0,,,,,0.260899,2.749012
0.261982,6.447087,0.523964,50.971695,2.619553,0,,,,,0.261982,2.749014
0.263065,6.456161,0.526129,50.972347,2.630378,0,,,,,0.263065,2.749016
0.264147,6.466095,0.528294,50.973053,2.641202,0,,,,,0.264147,2.749017
0.26523,6.475233,0.530459,50.973667,2.652027,0,,,,,0.26523,2.749019
0.266312,6.484058,0.532624,50.974178,2.662852,0,,,,,0.266312,2.749021
0.267395,6.493044,0.53479,50.974434,2.673676,0,,,,,0.267395,2.749022
0.268477,6.502277,0.536955,50.974659,2.684501,0,,,,,0.268477,2.749024
0.26956,6.511607,0.53912,50.974876,2.695325,0,,,,,0.26956,2.749025
0.270643,6.520456,0.541285,50.974819,2.70615,0,,,,,0.270643,2.749027
0.271725,6.5294,0.54345,50.974739,2.716975,0,,,,,0.271725,2.749029
0.272808,6.538428,0.545615,50.974697,2.727799,0,,,,,0.272808,2.74903
0.27389,6.547956,0.54778,50.97448,2.738624,0,,,,,0.27389,2.749032
0.274973,6.557161,0.549946,50.974205,2.749449,0,,,,,0.274973,2.749034
0.276055,6.566016,0.552111,50.973892,2.760273,0,,,,,0.276055,2.749035
0.277138,6.575728,0.554276,50.973576,2.771098,0,,,,,0.277138,2.749037
0.278221,6.585537,0.556441,50.973228,2.781922,0,,,,,0.278221,2.749038
0.279303,6.595403,0.558606,50.972733,2.792747,0,,,,,0.279303,2.74904
0.280386,6.604774,0.560771,50.972187,2.803571,0,,,,,0.280386,2.749042
0.281468,6.614119,0.562936,50.971634,2.814396,0,,,,,0.281468,2.749043
0.282551,6.623621,0.565102,50.971413,2.825221,0,,,,,0.282551,2.749045
0.283633,6.63318,0.567267,50.971245,2.836045,0,,,,,0.283633,2.749047
0.284716,6.642899,0.569432,50.971127,2.84687,0,,,,,0.284716,2.749048
0.285798,6.653229,0.571597,50.971149,2.857694,0,,,,,0.285798,2.74905
0.286881,6.663687,0.573762,50.971165,2.868519,0,,,,,0.286881,2.749052
0.287964,6.674168,0.575927,50.971176,2.879344,0,,,,,0.287964,2.749053
0.289046,6.684278,0.578092,50.971306,2.890168,0,,,,,0.289046,2.749055
0.290129,6.693981,0.580258,50.971329,2.900993,0,,,,,0.290129,2.749057
0.291211,6.703404,0.582423,50.971153,2.911818,0,,,,,0.291211,2.749058
0.292294,6.713335,0.584588,50.971157,2.922642,0,,,,,0.292294,2.74906
0.293376,6.723212,0.586753,50.971199,2.933467,0,,,,,0.293376,2.749062
0.294459,6.733036,0.588918,50.971252,2.944291,0,,,,,0.294459,2.749063
0.295542,6.7439,0.591083,50.971294,2.955116,0,,,,,0.295542,2.749065
0.296624,6.754779,0.593248,50.971352,2.96594,0,,,,,0.296624,2.749067
0.297707,6.765613,0.595414,50.971455,2.976765,0,,,,,0.297707,2.749068
0.298789,6.776493,0.597579,50.971687,2.98759,0,,,,,0.298789,2.74907
0.299872,6.787477,0.599744,50.971989,2.998414,0,,,,,0.299872,2.749071
0.300954,6.798647,0.601909,50.972321,3.009239,0,,,,,0.300954,2.749073
0.302037,6.808868,0.604074,50.972656,3.020063,0,,,,,0.302037,2.749075
0.30312,6.818895,0.606239,50.973,3.030888,0,,,,,0.30312,2.749076
0.304202,6.82899,0.608404,50.973515,3.041713,0,,,,,0.304202,2.749078
0.305285,6.838791,0.61057,50.973984,3.052537,0,,,,,0.305285,2.74908
0.306367,6.84869,0.612735,50.974403,3.063362,0,,,,,0.306367,2.749081
0.30745,6.859408,0.6149,50.974724,3.074187,0,,,,,0.30745,2.749083
0.308532,6.869497,0.617065,50.975224,3.085011,0,,,,,0.308532,2.749085
0.309615,6.879297,0.61923,50.975967,3.095836,0,,,,,0.309615,2.749086
0.310698,6.889275,0.621395,50.976673,3.10666,0,,,,,0.310698,2.749088
0.31178,6.899183,0.62356,50.977299,3.117485,0,,,,,0.31178,2.74909
0.312863,6.909019,0.625726,50.977772,3.128309,0,,,,,0.312863,2.749091
0.313945,6.918444,0.627891,50.977947,3.139134,0,,,,,0.313945,2.749093
0.315028,6.927644,0.630056,50.978073,3.149959,0,,,,,0.315028,2.749094
0.31611,6.936634,0.632221,50.97823,3.160783,0,,,,,0.31611,2.749095
0.317193,6.944914,0.634386,50.978268,3.171608,0,,,,,0.317193,2.749096
0.318276,6.953336,0.636551,50.978271,3.182432,0,,,,,0.318276,2.749097
0.319358,6.961958,0.638716,50.978317,3.193257,0,,,,,0.319358,2.749099
0.320441,6.970768,0.640881,50.978302,3.204082,0,,,,,0.320441,2.7491
0.321523,6.978768,0.643047,50.978256,3.214906,0,,,,,0.321523,2.749101
0.322606,6.98532,0.645212,50.978207,3.225731,0,,,,,0.322606,2.749102
0.323688,6.992416,0.647377,50.97834,3.236556,0,,,,,0.323688,2.749103
0.324771,6.999628,0.649542,50.978619,3.24738,0,,,,,0.324771,2.749104
0.325854,7.006844,0.651707,50.97913,3.258205,0,,,,,0.325854,2.749106
0.326936,7.013502,0.653872,50.979656,3.269029,0,,,,,0.326936,2.749107
0.328019,7.019903,0.656037,50.980194,3.279854,0,,,,,0.328019,2.749109
0.329101,7.026037,0.658203,50.980846,3.290679,0,,,,,0.329101,2.749111
0.330184,7.032048,0.660368,50.981583,3.301503,0,,,,,0.330184,2.749112
0.331266,7.037857,0.662533,50.982433,3.312328,0,,,,,0.331266,2.749114
0.332349,7.042757,0.664698,50.983196,3.323152,0,,,,,0.332349,2.749115
0.333432,7.04741,0.666863,50.983891,3.333977,0,,,,,0.333432,2.749117
0.334514,7.051896,0.669028,50.984478,3.344801,0,,,,,0.334514,2.749119
0.335597,7.05582,0.671193,50.985367,3.355626,0,,,,,0.335597,2.74912
0.336679,7.059501,0.673359,50.986366,3.366451,0,,,,,0.336679,2.749122
0.337762,7.062903,0.675524,50.987461,3.377275,0,,,,,0.337762,2.749124
0.338844,7.065889,0.677689,50.98838,3.3881,0,,,,,0.338844,2.749125
0.339927,7.068802,0.679854,50.989204,3.398925,0,,,,,0.339927,2.749127
0.34101,7.071649,0.682019,50.989899,3.409749,0,,,,,0.34101,2.749129
0.342092,7.073481,0.684184,50.990654,3.420574,0,,,,,0.342092,2.74913
0.343175,7.074821,0.686349,50.991402,3.431398,0,,,,,0.343175,2.749132
0.344257,7.075481,0.688515,50.991882,3.442223,0,,,,,0.344257,2.749134
0.34534,7.075984,0.69068,50.99239,3.453048,0,,,,,0.34534,2.749135
0.346422,7.076186,0.692845,50.99292,3.463872,0,,,,,0.346422,2.749137
0.347505,7.075593,0.69501,50.993412,3.474697,0,,,,,0.347505,2.749138
0.348588,7.075291,0.697175,50.993866,3.485521,0,,,,,0.348588,2.749139
0.34967,7.074943,0.69934,50.994286,3.496346,0,,,,,0.34967,2.74914
0.350753,7.073808,0.701505,50.994801,3.50717,0,,,,,0.350753,2.749141
0.351835,7.072013,0.703671,50.995209,3.517995,0,,,,,0.351835,2.749142
0.352918,7.069867,0.705836,50.995472,3.52882,0,,,,,0.352918,2.749144
