Run Name,BCD348/532DEDDL,gf1+2,2014/11/19
Run Date,01:59:44 PM   11-19-14
Method Name,GF.3_0.35
Export Format Version, 1.00
Method ID, 4405
Points/Second, 5.00
Number of Records,  18055
Offset from Run Start Time,00:00:00
Run End Time,01:00:12
Time,Second
UV,AU,
Trace 2,<Not Selected>
Gradient Pump,<Not Selected>
Trace 3,<Not Available>
Trace 4,<Not Available>
Trace 5,<Not Available>
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Selected>
Time,UV
   166.6,0.118301
   166.8,0.118180
   167.0,0.118055
   167.2,0.117929
   167.4,0.117789
   167.6,0.117656
   167.8,0.117535
   168.0,0.117417
   168.2,0.117295
   168.4,0.117179
   168.6,0.117066
   168.8,0.116953
   169.0,0.116840
   169.2,0.116727
   169.4,0.116614
   169.6,0.116503
   169.8,0.116401
   170.0,0.116296
   170.2,0.116175
   170.4,0.116052
   170.6,0.115925
   170.8,0.115798
   171.0,0.115677
   171.2,0.115555
   171.4,0.115437
   171.6,0.115315
   171.8,0.115192
   172.0,0.115056
   172.2,0.114919
   172.4,0.114780
   172.6,0.114658
   172.8,0.114535
   173.0,0.114420
   173.2,0.114306
   173.4,0.114194
   173.6,0.114070
   173.8,0.113950
   174.0,0.113840
   174.2,0.113726
   174.4,0.113621
   174.6,0.113511
   174.8,0.113405
   175.0,0.113298
   175.2,0.113184
   175.4,0.113069
   175.6,0.112954
   175.8,0.112832
   176.0,0.112723
   176.2,0.112615
   176.4,0.112498
   176.6,0.112377
   176.8,0.112252
   177.0,0.112135
   177.2,0.112023
   177.4,0.111899
   177.6,0.111784
   177.8,0.111667
   178.0,0.111547
   178.2,0.111428
   178.4,0.111304
   178.6,0.111170
   178.8,0.111048
   179.0,0.110927
   179.2,0.110814
   179.4,0.110703
   179.6,0.110580
   179.8,0.110463
   180.0,0.110353
   180.2,0.110227
   180.4,0.110105
   180.6,0.109991
   180.8,0.109880
   181.0,0.109759
   181.2,0.109639
   181.4,0.109528
   181.6,0.109418
   181.8,0.109304
   182.0,0.109188
   182.2,0.109072
   182.4,0.108952
   182.6,0.108849
   182.8,0.108734
   183.0,0.108612
   183.2,0.108495
   183.4,0.108388
   183.6,0.108270
   183.8,0.108152
   184.0,0.108026
   184.2,0.107890
   184.4,0.107765
   184.6,0.107638
   184.8,0.107509
   185.0,0.107383
   185.2,0.107264
   185.4,0.107150
   185.6,0.107035
   185.8,0.106910
   186.0,0.106789
   186.2,0.106669
   186.4,0.106543
   186.6,0.106437
   186.8,0.106327
   187.0,0.106222
   187.2,0.106121
   187.4,0.106017
   187.6,0.105917
   187.8,0.105794
