id,conceptdoi
11006021,10.5281/zenodo.11006020
11006023,10.5281/zenodo.11006022
11006025,10.5281/zenodo.11006024
11006027,10.5281/zenodo.11006026
11006029,10.5281/zenodo.11006028
11006031,10.5281/zenodo.11006030
11006033,10.5281/zenodo.11006032
11006035,10.5281/zenodo.11006034
11006037,10.5281/zenodo.11006036
11006039,10.5281/zenodo.11006038
11006041,10.5281/zenodo.11006040
11006045,10.5281/zenodo.11006044
11006047,10.5281/zenodo.11006046
11006049,10.5281/zenodo.11006048
11006051,10.5281/zenodo.11006050
11006053,10.5281/zenodo.11006052
11006055,10.5281/zenodo.11006054
11006057,10.5281/zenodo.11006056
11006059,10.5281/zenodo.11006058
11006063,10.5281/zenodo.11006062
11006065,10.5281/zenodo.11006064
11006067,10.5281/zenodo.11006066
11006069,10.5281/zenodo.11006068
11006071,10.5281/zenodo.11006070
11006073,10.5281/zenodo.11006072
11006075,10.5281/zenodo.11006074
11006077,10.5281/zenodo.11006076
11006079,10.5281/zenodo.11006078
11006083,10.5281/zenodo.11006082
11006085,10.5281/zenodo.11006084
11006087,10.5281/zenodo.11006086
11006089,10.5281/zenodo.11006088
11006093,10.5281/zenodo.11006092
11006095,10.5281/zenodo.11006094
11006097,10.5281/zenodo.11006096
11006099,10.5281/zenodo.11006098
11006101,10.5281/zenodo.11006100
11006103,10.5281/zenodo.11006102
11006105,10.5281/zenodo.11006104
11006107,10.5281/zenodo.11006106
11006109,10.5281/zenodo.11006108
11006111,10.5281/zenodo.11006110
11006113,10.5281/zenodo.11006112
11006117,10.5281/zenodo.11006116
11006119,10.5281/zenodo.11006118
11006122,10.5281/zenodo.11006121
11006124,10.5281/zenodo.11006123
11006126,10.5281/zenodo.11006125
11006128,10.5281/zenodo.11006127
11006130,10.5281/zenodo.11006129
11006134,10.5281/zenodo.11006133
11006136,10.5281/zenodo.11006135
11006138,10.5281/zenodo.11006137
11006140,10.5281/zenodo.11006139
11006142,10.5281/zenodo.11006141
11006144,10.5281/zenodo.11006143
11006146,10.5281/zenodo.11006145
11006148,10.5281/zenodo.11006147
11006150,10.5281/zenodo.11006149
11006152,10.5281/zenodo.11006151
11006157,10.5281/zenodo.11006156
11006161,10.5281/zenodo.11006160
11006163,10.5281/zenodo.11006162
11006165,10.5281/zenodo.11006164
11006167,10.5281/zenodo.11006166
11006169,10.5281/zenodo.11006168
11006171,10.5281/zenodo.11006170
11006173,10.5281/zenodo.11006172
11006175,10.5281/zenodo.11006174
11006177,10.5281/zenodo.11006176
11006179,10.5281/zenodo.11006178
11006181,10.5281/zenodo.11006180
11006183,10.5281/zenodo.11006182
11006185,10.5281/zenodo.11006184
11006187,10.5281/zenodo.11006186
11006189,10.5281/zenodo.11006188
11006191,10.5281/zenodo.11006190
11006193,10.5281/zenodo.11006192
11006195,10.5281/zenodo.11006194
11006197,10.5281/zenodo.11006196
11006199,10.5281/zenodo.11006198
11006201,10.5281/zenodo.11006200
11006203,10.5281/zenodo.11006202
11006207,10.5281/zenodo.11006206
11006209,10.5281/zenodo.11006208
11006213,10.5281/zenodo.11006212
11006215,10.5281/zenodo.11006214
11006217,10.5281/zenodo.11006216
11006219,10.5281/zenodo.11006218
11006222,10.5281/zenodo.11006221
11006224,10.5281/zenodo.11006223
11006226,10.5281/zenodo.11006225
11006228,10.5281/zenodo.11006227
11006230,10.5281/zenodo.11006229
11006232,10.5281/zenodo.11006231
11006234,10.5281/zenodo.11006233
11006237,10.5281/zenodo.11006236
11006239,10.5281/zenodo.11006238
11006241,10.5281/zenodo.11006240
11006243,10.5281/zenodo.11006242
11006245,10.5281/zenodo.11006244
11006249,10.5281/zenodo.11006248
11006251,10.5281/zenodo.11006250
11006253,10.5281/zenodo.11006252
11006255,10.5281/zenodo.11006254
11006257,10.5281/zenodo.11006256
11006259,10.5281/zenodo.11006258
11006261,10.5281/zenodo.11006260
11006263,10.5281/zenodo.11006262
11006265,10.5281/zenodo.11006264
11006267,10.5281/zenodo.11006266
11006269,10.5281/zenodo.11006268
11006273,10.5281/zenodo.11006272
11006275,10.5281/zenodo.11006274
11006277,10.5281/zenodo.11006276
11006279,10.5281/zenodo.11006278
11006281,10.5281/zenodo.11006280
11006283,10.5281/zenodo.11006282
11006285,10.5281/zenodo.11006284
11006287,10.5281/zenodo.11006286
11006289,10.5281/zenodo.11006288
11006291,10.5281/zenodo.11006290
11006293,10.5281/zenodo.11006292
11006295,10.5281/zenodo.11006294
11006297,10.5281/zenodo.11006296
11006299,10.5281/zenodo.11006298
11006301,10.5281/zenodo.11006300
11006303,10.5281/zenodo.11006302
11006307,10.5281/zenodo.11006306
11006309,10.5281/zenodo.11006308
11006311,10.5281/zenodo.11006310
11006313,10.5281/zenodo.11006312
11006315,10.5281/zenodo.11006314
11006317,10.5281/zenodo.11006316
11006319,10.5281/zenodo.11006318
11006321,10.5281/zenodo.11006320
11006323,10.5281/zenodo.11006322
11006326,10.5281/zenodo.11006325
11006328,10.5281/zenodo.11006327
11006333,10.5281/zenodo.11006332
11006335,10.5281/zenodo.11006334
11006337,10.5281/zenodo.11006336
11006339,10.5281/zenodo.11006338
11006341,10.5281/zenodo.11006340
11006343,10.5281/zenodo.11006342
11006345,10.5281/zenodo.11006344
11006347,10.5281/zenodo.11006346
11006349,10.5281/zenodo.11006348
11006353,10.5281/zenodo.11006352
11006355,10.5281/zenodo.11006354
11006357,10.5281/zenodo.11006356
11006359,10.5281/zenodo.11006358
11006361,10.5281/zenodo.11006360
11006363,10.5281/zenodo.11006362
11006365,10.5281/zenodo.11006364
11006367,10.5281/zenodo.11006366
11006369,10.5281/zenodo.11006368
11006373,10.5281/zenodo.11006371
11006375,10.5281/zenodo.11006374
11006377,10.5281/zenodo.11006376
11006379,10.5281/zenodo.11006378
11006381,10.5281/zenodo.11006380
11006383,10.5281/zenodo.11006382
11006385,10.5281/zenodo.11006384
11006387,10.5281/zenodo.11006386
11006389,10.5281/zenodo.11006388
11006391,10.5281/zenodo.11006390
11006393,10.5281/zenodo.11006392
11006397,10.5281/zenodo.11006396
11006399,10.5281/zenodo.11006398
11006401,10.5281/zenodo.11006400
11006403,10.5281/zenodo.11006402
11006405,10.5281/zenodo.11006404
11006407,10.5281/zenodo.11006406
11006411,10.5281/zenodo.11006410
11006413,10.5281/zenodo.11006412
11006415,10.5281/zenodo.11006414
11006417,10.5281/zenodo.11006416
11006421,10.5281/zenodo.11006420
11006423,10.5281/zenodo.11006422
11006426,10.5281/zenodo.11006425
11006430,10.5281/zenodo.11006429
11006432,10.5281/zenodo.11006431
11006434,10.5281/zenodo.11006433
11006436,10.5281/zenodo.11006435
11006438,10.5281/zenodo.11006437
11006440,10.5281/zenodo.11006439
11006442,10.5281/zenodo.11006441
11006444,10.5281/zenodo.11006443
11006446,10.5281/zenodo.11006445
11006452,10.5281/zenodo.11006451
11006454,10.5281/zenodo.11006453
11006456,10.5281/zenodo.11006455
11006458,10.5281/zenodo.11006457
11006461,10.5281/zenodo.11006460
11006463,10.5281/zenodo.11006462
11006467,10.5281/zenodo.11006466
11006471,10.5281/zenodo.11006470
11006473,10.5281/zenodo.11006472
11006475,10.5281/zenodo.11006474
11006477,10.5281/zenodo.11006476
11006479,10.5281/zenodo.11006478
11006481,10.5281/zenodo.11006480
11006483,10.5281/zenodo.11006482
11006485,10.5281/zenodo.11006484
11006487,10.5281/zenodo.11006486
11006489,10.5281/zenodo.11006488
11006491,10.5281/zenodo.11006490
11006493,10.5281/zenodo.11006492
11006495,10.5281/zenodo.11006494
11006497,10.5281/zenodo.11006496
11006499,10.5281/zenodo.11006498
11006501,10.5281/zenodo.11006500
11006503,10.5281/zenodo.11006502
11006505,10.5281/zenodo.11006504
11006507,10.5281/zenodo.11006506
11006511,10.5281/zenodo.11006510
11006513,10.5281/zenodo.11006512
11006515,10.5281/zenodo.11006514
11006519,10.5281/zenodo.11006518
11006521,10.5281/zenodo.11006520
11006525,10.5281/zenodo.11006524
11006529,10.5281/zenodo.11006528
11006531,10.5281/zenodo.11006530
11006535,10.5281/zenodo.11006534
11006537,10.5281/zenodo.11006536
11006539,10.5281/zenodo.11006538
11006541,10.5281/zenodo.11006540
11006543,10.5281/zenodo.11006542
11006545,10.5281/zenodo.11006544
11006547,10.5281/zenodo.11006546
11006549,10.5281/zenodo.11006548
11006551,10.5281/zenodo.11006550
11006553,10.5281/zenodo.11006552
11006555,10.5281/zenodo.11006554
11006557,10.5281/zenodo.11006556
11006561,10.5281/zenodo.11006560
11006563,10.5281/zenodo.11006562
11006565,10.5281/zenodo.11006564
11006567,10.5281/zenodo.11006566
11006569,10.5281/zenodo.11006568
11006571,10.5281/zenodo.11006570
11006573,10.5281/zenodo.11006572
11006575,10.5281/zenodo.11006574
11006577,10.5281/zenodo.11006576
11006579,10.5281/zenodo.11006578
11006581,10.5281/zenodo.11006580
11006583,10.5281/zenodo.11006582
11006585,10.5281/zenodo.11006584
11006587,10.5281/zenodo.11006586
11006589,10.5281/zenodo.11006588
11006591,10.5281/zenodo.11006590
11006593,10.5281/zenodo.11006592
11006595,10.5281/zenodo.11006594
11006597,10.5281/zenodo.11006596
11006599,10.5281/zenodo.11006598
11006601,10.5281/zenodo.11006600
11006603,10.5281/zenodo.11006602
11006605,10.5281/zenodo.11006604
11006607,10.5281/zenodo.11006606
11006609,10.5281/zenodo.11006608
11006611,10.5281/zenodo.11006610
11006613,10.5281/zenodo.11006612
11006615,10.5281/zenodo.11006614
11006617,10.5281/zenodo.11006616
11006619,10.5281/zenodo.11006618
11006621,10.5281/zenodo.11006620
11006623,10.5281/zenodo.11006622
11006625,10.5281/zenodo.11006624
11006627,10.5281/zenodo.11006626
11006629,10.5281/zenodo.11006628
11006631,10.5281/zenodo.11006630
11006633,10.5281/zenodo.11006632
11006635,10.5281/zenodo.11006634
11006637,10.5281/zenodo.11006636
11006639,10.5281/zenodo.11006638
11006641,10.5281/zenodo.11006640
11006643,10.5281/zenodo.11006642
11006645,10.5281/zenodo.11006644
11006647,10.5281/zenodo.11006646
11006649,10.5281/zenodo.11006648
11006651,10.5281/zenodo.11006650
11006653,10.5281/zenodo.11006652
11006655,10.5281/zenodo.11006654
11006657,10.5281/zenodo.11006656
11006659,10.5281/zenodo.11006658
11006661,10.5281/zenodo.11006660
11006663,10.5281/zenodo.11006662
11006665,10.5281/zenodo.11006664
11006667,10.5281/zenodo.11006666
11006669,10.5281/zenodo.11006668
11006671,10.5281/zenodo.11006670
11006673,10.5281/zenodo.11006672
11006675,10.5281/zenodo.11006674
11006677,10.5281/zenodo.11006676
11006679,10.5281/zenodo.11006678
11006681,10.5281/zenodo.11006680
11006683,10.5281/zenodo.11006682
11006685,10.5281/zenodo.11006684
11006687,10.5281/zenodo.11006686
11006689,10.5281/zenodo.11006688
11006691,10.5281/zenodo.11006690
11006694,10.5281/zenodo.11006693
11006696,10.5281/zenodo.11006695
11006698,10.5281/zenodo.11006697
11006700,10.5281/zenodo.11006699
11006702,10.5281/zenodo.11006701
11006704,10.5281/zenodo.11006703
11006706,10.5281/zenodo.11006705
11006708,10.5281/zenodo.11006707
11006710,10.5281/zenodo.11006709
11006712,10.5281/zenodo.11006711
11006714,10.5281/zenodo.11006713
11006716,10.5281/zenodo.11006715
11006718,10.5281/zenodo.11006717
11006720,10.5281/zenodo.11006719
11006723,10.5281/zenodo.11006722
11006725,10.5281/zenodo.11006724
11006727,10.5281/zenodo.11006726
11006731,10.5281/zenodo.11006730
11006733,10.5281/zenodo.11006732
11006735,10.5281/zenodo.11006734
11006737,10.5281/zenodo.11006736
11006739,10.5281/zenodo.11006738
11006741,10.5281/zenodo.11006740
11006743,10.5281/zenodo.11006742
11006745,10.5281/zenodo.11006744
11006747,10.5281/zenodo.11006746
11006749,10.5281/zenodo.11006748
11006751,10.5281/zenodo.11006750
11006753,10.5281/zenodo.11006752
11006755,10.5281/zenodo.11006754
11006757,10.5281/zenodo.11006756
11006759,10.5281/zenodo.11006758
11006761,10.5281/zenodo.11006760
11006763,10.5281/zenodo.11006762
11006765,10.5281/zenodo.11006764
11006769,10.5281/zenodo.11006768
11006771,10.5281/zenodo.11006770
11006773,10.5281/zenodo.11006772
11006775,10.5281/zenodo.11006774
11006777,10.5281/zenodo.11006776
11006779,10.5281/zenodo.11006778
11006781,10.5281/zenodo.11006780
11006783,10.5281/zenodo.11006782
11006785,10.5281/zenodo.11006784
11006787,10.5281/zenodo.11006786
11006789,10.5281/zenodo.11006788
11006791,10.5281/zenodo.11006790
11006793,10.5281/zenodo.11006792
11006795,10.5281/zenodo.11006794
11006797,10.5281/zenodo.11006796
11006799,10.5281/zenodo.11006798
11006803,10.5281/zenodo.11006802
11006805,10.5281/zenodo.11006804
11006807,10.5281/zenodo.11006806
11006811,10.5281/zenodo.11006810
11006813,10.5281/zenodo.11006812
11006815,10.5281/zenodo.11006814
11006817,10.5281/zenodo.11006816
11006819,10.5281/zenodo.11006818
11006821,10.5281/zenodo.11006820
11006823,10.5281/zenodo.11006822
11006825,10.5281/zenodo.11006824
11006827,10.5281/zenodo.11006826
11006829,10.5281/zenodo.11006828
11006831,10.5281/zenodo.11006830
11006833,10.5281/zenodo.11006832
11006835,10.5281/zenodo.11006834
11006837,10.5281/zenodo.11006836
11006841,10.5281/zenodo.11006840
11006843,10.5281/zenodo.11006842
11006845,10.5281/zenodo.11006844
11006847,10.5281/zenodo.11006846
11006849,10.5281/zenodo.11006848
11006851,10.5281/zenodo.11006850
11006853,10.5281/zenodo.11006852
11006855,10.5281/zenodo.11006854
11006857,10.5281/zenodo.11006856
11006859,10.5281/zenodo.11006858
11006861,10.5281/zenodo.11006860
11006863,10.5281/zenodo.11006862
11006865,10.5281/zenodo.11006864
11006868,10.5281/zenodo.11006867
11006870,10.5281/zenodo.11006869
11006872,10.5281/zenodo.11006871
11006874,10.5281/zenodo.11006873
11006876,10.5281/zenodo.11006875
11006878,10.5281/zenodo.11006877
11006881,10.5281/zenodo.11006880
11006883,10.5281/zenodo.11006882
11006885,10.5281/zenodo.11006884
11006887,10.5281/zenodo.11006886
11006889,10.5281/zenodo.11006888
11006891,10.5281/zenodo.11006890
11006893,10.5281/zenodo.11006892
11006895,10.5281/zenodo.11006894
11006897,10.5281/zenodo.11006896
11006899,10.5281/zenodo.11006898
11006901,10.5281/zenodo.11006900
11006903,10.5281/zenodo.11006902
11006905,10.5281/zenodo.11006904
11006907,10.5281/zenodo.11006906
11006909,10.5281/zenodo.11006908
11006911,10.5281/zenodo.11006910
11006913,10.5281/zenodo.11006912
11006915,10.5281/zenodo.11006914
11006921,10.5281/zenodo.11006920
