seconds,alt,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
10.3066,119.706,1.30409,9.46601,3.3332,0.028132,-0.524085,0.148295
10.3662,119.758,0.547956,9.53779,3.05085,-0.253782,-0.504232,-0.160192
10.4258,119.801,-0.227318,8.92523,4.21855,-0.761411,-0.445283,0.0389501
10.4844,119.769,-1.65823,9.65025,5.3695,-0.992929,-0.325249,0.399971
10.5439,119.589,0.392423,8.74337,5.80499,-0.62641,0.243467,0.421046
10.7666,119.558,0.380459,8.87498,4.6349,0.936183,0.72941,-0.0514579
10.8271,119.748,1.56012,7.38664,7.6666,0.918773,0.532711,-0.230136
10.8848,119.748,-1.01216,10.4423,2.92642,0.796906,0.160694,-0.382852
10.9443,119.6,0.667598,8.08056,2.07936,0.353112,0.639613,-0.629336
11.0039,119.928,-2.11526,9.71725,4.01516,-0.394892,0.27401,0.000465602
11.126,119.822,-1.40459,11.5119,2.82114,-0.3616,0.0192792,0.521533
11.1855,120.023,-0.409173,9.10709,3.99123,-0.101371,-0.369842,0.395695
11.3135,119.78,-0.435494,9.33919,4.03908,-0.11084,0.197041,-0.191651
11.374,119.769,-1.28734,9.1023,2.84267,0.0479851,0.0153086,-0.327569
11.4326,119.811,-1.18923,8.75294,3.28295,0.226663,0.362891,-0.0050322
11.4922,119.843,-1.2347,9.29851,3.06999,0.186957,0.526908,0.0135992
11.5518,119.896,-0.935594,9.65504,2.98146,0.101436,0.306386,-0.132092
11.6113,119.832,-0.878166,9.72683,3.77827,-0.182006,0.410844,0.0410881
11.6709,119.959,-0.270389,9.45644,4.00559,-0.171926,0.33754,0.16937
11.8936,119.727,-0.291924,9.07598,2.67996,0.410533,0.360447,-0.16966
11.9531,119.843,-0.741775,9.09273,2.57946,0.330816,0.142369,-0.260985
12.0107,119.98,-1.18205,9.05684,2.54596,0.0568427,0.0913613,-0.2225
12.0703,119.832,-1.31366,9.17408,2.60818,-0.0586109,-0.0628821,-0.0413787
12.1299,119.906,-1.2658,9.38226,2.2995,-0.0216535,-0.145654,-0.14492
12.1895,119.737,-1.35673,9.4349,2.36889,0.071198,0.0177521,-0.0664241
12.2471,119.589,-1.40219,9.60479,2.01715,0.117013,-0.105948,-0.0789469
12.3066,119.758,-1.43091,9.60718,2.53639,0.0400438,0.0831147,0.223431
12.499,119.61,-0.634098,9.32962,3.21595,-0.0723553,-0.128245,-0.17638
12.5596,119.896,-1.51705,9.27697,2.86182,0.197647,0.0574583,-0.227082
12.6182,119.811,-1.75873,9.37508,2.45264,0.241018,0.0293585,0.0694933
12.6777,119.758,-1.27298,9.38226,2.27557,0.127397,-0.0152346,0.13455
12.7373,119.78,-0.820738,9.32244,2.132,-0.0152394,-0.138935,0.0661336
12.7969,119.61,-0.794417,9.52583,2.48136,-0.108396,-0.169173,-0.0590938
12.8564,119.6,-1.08156,9.43729,2.38325,-0.152684,-0.149319,-0.0856664
13.0781,119.832,-1.02174,9.07598,2.95274,-0.0970954,-0.0967851,0.0597195
13.1387,119.97,-1.08634,9.35354,3.03889,-0.102288,-0.0851787,-0.00655936
13.1973,119.97,-1.14377,9.88715,3.07238,-0.12489,-0.129772,0.0362012
13.2568,119.727,-1.15334,9.92303,2.84028,-0.0860998,-0.107781,0.0114612
13.3164,119.684,-1.21316,9.58804,2.93599,-0.089765,-0.0127912,0.00932314
13.376,119.632,-1.16052,9.12622,3.38345,-0.167039,-0.011264,0.0258165
13.4346,119.515,-1.05284,8.88934,3.65623,-0.156044,-0.0222596,-0.0288559
13.5645,119.505,-1.21555,9.27219,3.0006,0.16466,0.0684539,-0.110406
13.624,119.484,-1.26102,9.2339,3.01017,-0.00393844,-0.0372258,-0.000145286
13.6826,119.674,-1.1318,9.00419,2.99821,-0.0610543,-0.0256193,-0.122013
13.7822,119.568,-1.28734,9.07359,3.03649,0.0287428,-0.081208,-0.0707002
13.8486,119.79,-1.34955,9.45644,3.00778,-0.0115743,-0.0689908,-0.0612318
13.9072,119.589,-1.26102,9.31287,2.94317,-0.0427284,-0.074794,0.00962856
13.9668,119.536,-1.35673,9.23151,3.31645,-0.0531131,-0.0274519,0.00290905
14.1924,119.61,-1.32802,9.0688,3.3356,0.0351569,-0.0179835,0.0282599
14.251,119.684,-1.39502,9.19562,3.23988,0.00705713,-0.00179559,0.00260362
14.3096,119.536,-1.5003,9.27458,3.11306,-0.0363143,0.0162249,-0.00839196
14.3691,119.885,-1.35194,9.08315,3.30688,-0.0723553,-0.0271465,0.0688825
14.4297,119.706,-1.37827,8.9013,3.44327,-0.0830455,0.0550148,0.0352849
14.4883,119.399,-1.42612,8.79362,3.69213,-0.109618,-0.0439453,0.0554435
14.5479,119.663,-1.35673,8.73859,3.75673,-0.0531131,0.0208064,0.0200133
14.6758,119.706,-1.54098,9.04248,3.52702,-0.0512805,0.0611235,0.050862
14.7363,119.441,-1.60798,9.12144,3.63709,-0.0857944,0.124959,0.0597195
14.7959,119.484,-1.57926,9.16451,3.71845,-0.08274,0.15764,0.111643
14.8555,119.505,-1.49312,9.08315,3.86441,-0.0857944,0.19643,0.114392
14.9141,119.663,-1.31127,9.11426,4.01037,-0.0677738,0.190016,0.202356
14.9736,119.621,-1.04088,8.90848,3.94816,0.064173,0.198568,0.183114
15.0645,119.536,-1.00977,9.00419,3.67538,0.0721143,0.178104,0.173951
15.123,119.558,-0.811167,9.11187,3.5007,0.00369738,0.115796,0.172119
15.3428,119.515,-0.928415,8.96591,3.88834,0.0849424,-0.0992286,-0.122318
15.4033,119.653,-1.37348,9.34637,3.57727,0.170464,-0.108392,-0.187681
15.4619,119.61,-1.49551,9.21476,3.62513,0.238575,-0.147181,-0.0777251
15.5215,119.642,-1.32562,8.72902,3.39063,0.212308,-0.195745,0.0429207
15.5811,119.684,-1.28495,8.65484,2.87857,0.236437,-0.170089,-0.0258016
15.6406,119.462,-1.33759,9.12383,2.71107,0.180237,-0.0696016,-0.0722273
15.7002,119.473,-1.08156,9.32962,3.05085,-0.0598326,-0.043029,0.101869
15.8271,119.494,-0.212961,9.10948,3.25185,-0.0552511,-0.18139,-0.109796
15.8867,119.61,-0.157926,9.24348,3.28056,0.0644785,-0.165813,-0.176074
15.9453,119.674,-0.287139,9.46601,3.65863,-0.0793803,-0.0631875,-0.122318
16.0049,119.452,-0.497707,9.27697,3.64188,-0.102899,0.00125873,-0.110406
16.0645,119.473,-0.689133,9.38226,3.41695,0.00766799,-0.0100423,-0.0948293
16.124,119.42,-0.782453,9.09034,3.4337,0.100825,0.0580692,0.0307034
16.1836,119.642,-0.634098,9.04726,3.3332,0.0547046,0.0702865,0.0310088
16.4004,119.6,-0.79681,8.52563,3.01974,-0.0442555,0.156724,0.00474165
16.5186,119.674,-0.799203,8.95395,3.43609,0.00827888,0.179937,0.0835432
16.5762,119.832,-0.806381,9.21715,3.74237,-0.139856,0.140231,0.0850704
16.6367,119.6,-0.614955,9.22912,3.76391,-0.0977062,0.090445,0.0591086
