seconds,alt,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro
12.5576,90.9471,-0.263211,9.81297,-1.29212,-0.0152394,0.0162249,-0.00869739
12.6172,91.169,-0.0885344,6.50848,0.868595,0.00491911,0.162832,0.00840685
12.6768,91.243,-0.909273,11.0285,-0.129212,0.0330189,-0.0760157,-0.0380189
12.7363,90.9048,-0.0957129,9.6359,-0.177069,-0.00118953,-0.219569,-0.0294668
12.958,91.1267,-0.241675,9.7005,-0.0693919,-0.0195155,-0.306312,-0.0264125
13.0186,91.0739,1.01216,9.59283,-0.100499,-0.0567783,-0.18536,-0.0312994
13.0781,91.1479,-0.325424,9.90629,-0.325424,-0.0854889,-0.335633,-0.0245799
13.1377,90.9365,-0.0119641,10.3657,-0.0191426,-0.103815,0.119461,0.00901771
13.1973,91.0316,-0.11007,9.85125,0.643669,-0.0732716,0.136565,0.00962856
13.2568,91.0105,-0.251246,9.57608,0.681955,-0.021959,0.052266,0.012072
13.3164,90.9788,-0.0933201,9.7005,0.385244,0.0146929,-0.157872,0.0236785
13.4492,90.9471,0.0909272,9.71725,0.260818,0.0818881,0.043103,-0.0300777
13.5098,90.9365,-0.162712,9.734,-0.153141,0.0879967,0.0583746,-0.00686479
13.5684,90.8097,-2.15833,9.86561,0.59342,-0.00180042,0.539736,0.030398
13.666,91.0422,2.1655,9.75793,-1.32323,-0.0335654,-0.300203,-0.0471819
13.7266,91.1056,-1.13659,9.68136,1.8999,-0.0121851,0.460324,-0.0209147
13.7852,90.9365,0.145962,9.69572,0.368495,0.0250777,0.166498,-0.0258016
13.8535,91.1373,-0.79681,9.65025,0.760918,0.059897,-0.0558572,0.00351991
14.0684,91.1162,-5.24028,9.48276,1.70608,0.0623404,0.526297,0.00474165
14.1289,91.1056,2.09851,11.9187,-0.308674,0.041571,0.147561,0.0102394
14.1885,90.9259,-0.105284,9.63111,-0.772882,-0.0311219,-0.751632,-0.0502362
14.248,91.0316,0.0574278,9.78904,0.0861416,-0.00241128,-0.845094,-0.0942185
